"";"id";"Le";"L";"LX";"LXG1";"LXG2";"DIFN";"MTA.ell";"x";"VZA";"rings";"azimuths";"mask";"lens";"channel";"stretch";"gamma";"zonal";"method";"thd"
"1";"GSAH1000.JPG";3,05;3,05;1;1;1;15,555;86;0,1;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"2";"GSAH1001.JPG";2,99;2,99;1;1;1;16,092;64;0,78;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"3";"GSAH1002.JPG";3,29;3,29;1;1;1;13,451;86;0,1;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"119"
"4";"GSAH1003.JPG";2,78;2,78;1;1;1;18,351;25;3,25;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"119"
"5";"GSAH1004.JPG";2,78;2,78;1;1;1;18,281;68;0,62;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"6";"GSAH1005.JPG";3,28;3,28;1;1;1;13,516;62;0,86;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"126"
"7";"GSAH1006.JPG";2,27;2,27;1;1;1;25,056;80;0,26;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"130"
"8";"GSAH1007.JPG";2,1;2,1;1;1;1;27,82;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"129"
"9";"GSAH1008.JPG";2,07;2,07;1;1;1;28,277;24;3,41;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"127"
"10";"GSAH1009.JPG";2,09;2,09;1;1;1;27,897;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"124"
"11";"GSAH1010.JPG";1,95;1,95;1;1;1;30,494;77;0,36;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"126"
"12";"GSAH1011.JPG";1,86;1,86;1;1;1;32,174;22;3,59;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"13";"GSAH1012.JPG";1,41;1,41;1;1;1;42,283;77;0,36;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"14";"GSAH1013.JPG";1,39;1,39;1;1;1;42,739;69;0,61;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"107"
"15";"GSAH1014.JPG";1,27;1,27;1;1;1;46,029;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"91"
"16";"GSAH1015.JPG";2,06;2,06;1;1;1;28,427;67;0,66;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"91"
"17";"GSAH1016.JPG";3,2;3,2;1;1;1;14,224;70;0,55;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"58"
"18";"GSAH1017.JPG";4,52;4,52;1;1;1;6,342;85;0,12;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"53"
"19";"GSAH1018.JPG";4,35;4,35;1;1;1;7,039;66;0,71;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"52"
