"";"Pic_Name";"eff_LAI";"act_LAI";"Gap_Frac";"Mean_Leaf_Angle";"Rings";"Azimuths"
"1";"GSAH1000.JPG";3,05;3,05;15,555;86;1;1
"2";"GSAH1001.JPG";2,99;2,99;16,092;64;1;1
"3";"GSAH1002.JPG";3,29;3,29;13,451;86;1;1
"4";"GSAH1003.JPG";2,78;2,78;18,351;25;1;1
"5";"GSAH1004.JPG";2,78;2,78;18,281;68;1;1
"6";"GSAH1005.JPG";3,28;3,28;13,516;62;1;1
"7";"GSAH1006.JPG";2,27;2,27;25,056;80;1;1
"8";"GSAH1007.JPG";2,1;2,1;27,82;78;1;1
"9";"GSAH1008.JPG";2,07;2,07;28,277;24;1;1
"10";"GSAH1009.JPG";2,09;2,09;27,897;78;1;1
"11";"GSAH1010.JPG";1,95;1,95;30,494;77;1;1
"12";"GSAH1011.JPG";1,86;1,86;32,174;22;1;1
"13";"GSAH1012.JPG";1,41;1,41;42,283;77;1;1
"14";"GSAH1013.JPG";1,39;1,39;42,739;69;1;1
"15";"GSAH1014.JPG";1,27;1,27;46,029;78;1;1
"16";"GSAH1015.JPG";2,06;2,06;28,427;67;1;1
"17";"GSAH1016.JPG";3,2;3,2;14,224;70;1;1
"18";"GSAH1017.JPG";4,52;4,52;6,342;85;1;1
"19";"GSAH1018.JPG";4,35;4,35;7,039;66;1;1
"20";"GSAH1019.JPG";5,32;5,32;3,895;76;1;1
"21";"GSAH1020.JPG";6,07;6,07;2,454;69;1;1
"22";"GSAH1021.JPG";3,95;3,95;8,987;85;1;1
"23";"GSAH1022.JPG";3,95;3,95;8,964;81;1;1
"24";"GSAH1023.JPG";3,72;3,72;10,305;78;1;1
"25";"GSAH1024.JPG";3,94;3,94;9,05;53;1;1
"26";"GSAH1025.JPG";3,71;3,71;10,416;77;1;1
"27";"GSAH1026.JPG";3,94;3,94;9,02;86;1;1
"28";"GSAH1027.JPG";3,36;3,36;12,824;64;1;1
"29";"GSAH1028.JPG";3,21;3,21;14,096;66;1;1
"30";"GSAH1029.JPG";3,5;3,5;11,776;86;1;1
"31";"GSAH1030.JPG";3,4;3,4;12,56;45;1;1
"32";"GSAH1031.JPG";3,54;3,54;11,522;78;1;1
"33";"GSAH1032.JPG";3,67;3,67;10,615;81;1;1
"34";"GSAH1033.JPG";3,47;3,47;12,044;78;1;1
"35";"GSAH1034.JPG";3,34;3,34;13,055;81;1;1
"36";"GSAH1035.JPG";3,21;3,21;14,122;70;1;1
"37";"GSAH1036.JPG";3,3;3,3;13,346;69;1;1
"38";"GSAH1037.JPG";3,58;3,58;11,256;14;1;1
"39";"GSAH1038.JPG";3,62;3,62;11,002;85;1;1
